experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
184,25,0.700,2.5,2.00,20,53,25,800,0.00000000,1.00000000,0.35986270,1.00000000,1162,0.903967,0.096033,41.89
185,25,0.700,2.5,2.00,30,53,25,800,0.00000000,1.00000000,0.27715253,1.00000000,1746,0.855702,0.144298,46.79
186,25,0.700,2.5,2.00,50,53,25,800,0.00000000,1.00000000,0.27913204,1.00000000,2662,0.780000,0.220000,47.85
187,25,0.700,2.5,2.50,20,53,25,800,0.00000000,1.00000000,0.31777759,1.00000000,1166,0.903636,0.096364,47.31
188,25,0.700,2.5,2.50,30,53,25,800,0.00000000,1.00000000,0.25950435,1.00000000,1756,0.854876,0.145124,45.91
189,25,0.700,2.5,2.50,50,53,25,800,0.00000000,1.00000000,0.26438652,1.00000000,2650,0.780992,0.219008,47.80
190,25,0.700,2.5,3.00,20,53,25,800,0.00000000,1.00000000,0.36762005,1.00000000,1168,0.903471,0.096529,46.11
191,25,0.700,2.5,3.00,30,53,25,800,0.00000000,1.00000000,0.30930088,1.00000000,1756,0.854876,0.145124,46.55
192,25,0.700,2.5,3.00,50,53,25,800,0.00000000,1.00000000,0.24882679,1.00000000,2652,0.780826,0.219174,46.90
193,25,0.700,2.5,4.00,20,53,25,800,0.00000000,1.00000000,0.30010377,1.00000000,1166,0.903636,0.096364,45.75
194,25,0.700,2.5,4.00,30,53,25,800,0.00000000,1.00000000,0.28111759,1.00000000,1756,0.854876,0.145124,48.03
195,25,0.700,2.5,4.00,50,53,25,800,0.00000000,1.00000000,0.27212929,1.00000000,2652,0.780826,0.219174,45.72
196,25,0.700,2.5,5.00,20,53,25,800,0.00000000,1.00000000,0.27862490,1.00000000,1166,0.903636,0.096364,46.52
197,25,0.700,2.5,5.00,30,53,25,800,0.00000000,1.00000000,0.31043408,1.00000000,1752,0.855207,0.144793,46.78
198,25,0.700,2.5,5.00,50,53,25,800,0.00000000,1.00000000,0.27577676,1.00000000,2664,0.779835,0.220165,46.82
199,25,0.700,3.0,1.50,20,53,19,800,0.00000000,1.00000000,0.33970680,1.00000000,1162,0.903967,0.096033,44.75
200,25,0.700,3.0,1.50,30,53,20,800,0.00000000,1.00000000,0.35465880,1.00000000,1736,0.856529,0.143471,47.04
