experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
193,25,0.700,2.5,4.00,20,53,25,800,0.00000000,1.00000000,0.36883729,1.00000000,2378,0.950868,0.049132,92.94
194,25,0.700,2.5,4.00,30,53,25,800,0.00000000,1.00000000,0.29398935,1.00000000,3624,0.925124,0.074876,93.37
195,25,0.700,2.5,4.00,50,53,25,800,0.00000000,1.00000000,0.24838381,1.00000000,5630,0.883678,0.116322,93.58
196,25,0.700,2.5,5.00,20,53,25,800,0.00000000,1.00000000,0.27912959,1.00000000,2374,0.950950,0.049050,94.30
197,25,0.700,2.5,5.00,30,53,25,800,0.00000000,1.00000000,0.24102619,1.00000000,3620,0.925207,0.074793,93.59
198,25,0.700,2.5,5.00,50,53,25,800,0.00000000,1.00000000,0.24599000,1.00000000,5630,0.883678,0.116322,93.89
199,25,0.700,3.0,1.50,20,53,12,800,0.00000000,1.00000000,0.31624096,1.00000000,2334,0.951777,0.048223,94.13
200,25,0.700,3.0,1.50,30,53,25,800,0.00000000,1.00000000,0.33002864,1.00000000,3612,0.925372,0.074628,93.64
201,25,0.700,3.0,1.50,50,53,23,800,0.00000000,1.00000000,0.34558779,1.00000000,5588,0.884545,0.115455,91.62
202,25,0.700,3.0,2.00,20,53,25,800,0.00000000,1.00000000,0.29061399,1.00000000,2374,0.950950,0.049050,93.03
203,25,0.700,3.0,2.00,30,53,25,800,0.00000000,1.00000000,0.31331741,1.00000000,3618,0.925248,0.074752,93.57
204,25,0.700,3.0,2.00,50,53,25,800,0.00000000,1.00000000,0.31060818,1.00000000,5628,0.883719,0.116281,93.72
